,Table_name.column_name,Description
35,total_teachers_students.school_code,10 or 11 digit unique identificaiton code for each school
36,total_teachers_students.total_students,Total number of students stuyding in a particular school
37,total_teachers_students.total_teachers,Total number of teachers teaching in a particular school
38,teacher_registry.teacher_id,10 digit unique identification code for each teacher
39,teacher_registry.school_code,10 or 11 digit unique identificaiton code for each school
40,teacher_registry.designation,"This shows designation of a particular teacher. Possible values: ['Centre Head Teacher', 'JBT', 'JBT (HoS)', 'Head Teacher', 'PET', 'Drawing Master', 'TGT (ART)', 'Shastri', 'Head Master', 'Language Teacher', 'TGT (NM)', 'TGT (M)', 'TGT (ART) (HoS)', 'PTA', 'Lecturer', 'IT Teacher', 'Other Teacher', 'DPE', 'Principal', 'Lecturer (School New)', 'Art & Craft', 'Drawing Master (HoS)', 'Shastri (HoS)', 'TGT (NM) (HoS)', 'PET (HoS)', 'SMC Teacher', 'Lecturer (HoS)', 'Lecturer (School New) (HoS)', 'TGT (M) (HoS)', 'Vice-Principal', 'Teacher', 'Punjabi Teacher (HoS)', 'Punjabi Teacher', 'PTA (HoS)', 'Language Teacher (HoS)', 'Special Educator', 'Home Science', 'Other Teacher (HoS)', 'IT Teacher (HoS)', 'Urdu Teacher', 'SMC Teacher (HoS)', 'GVU(EGS) (HoS)', 'GVU(EGS)', 'Music', 'DPE (HoS)', 'Art & Craft (HoS)', 'Yoga Teacher', 'Teacher (HoS)', 'NTT', 'Music (HoS)', 'C&V', 'Acting Head Teacher', 'Not Provided', 'C&V (HoS)', 'Instructor positioned as per RTE', 'TGT', 'TGT (HoS)', 'Para Teacher', 'PAT']"
41,teacher_registry.teacher_type,"This shows employment type of a teacher. Possible values: ['Contract', 'Regular', 'Others', 'Guest Faculty /Part-Time']"
42,teacher_registry.gender,"This shows gender of a paticular teacher. Possible values are ['Male', 'Female']"
43,teacher_registry.appointment_date,The date at which the particular teacher is appointed. The date formate is 'DD/MM/YYYY'
44,school_registry.school_code,10 or 11 digit unique identificaiton code for each school
45,school_registry.school_name,Name of a a school for a particular school_code. school_code is 10 or 11 digit unique identificaiton code for each school
46,school_registry.lowest_class,minimum class on which students are studying in this school
47,school_registry.highest_class,maximum class on which students are studying in this school
48,school_registry.block_name,If question has block word and no word is present before word block that is like name of block then use 'Banikhet' as default block
49,school_registry.cluster_name,If question has cluster word and no word is present before word cluster that is like name of cluster then use 'GSSS BERTHIN' as default cluster
50,school_registry.school_category,"['Pr. with Up.Pr. sec. and H.Sec.', 'Primary', 'Up. Pr. Secondary and Higher Sec', 'Upper Pr. and Secondary', 'Upper Primary only']"
51,school_registry.village_name,Village name in which school is located
52,school_registry.school_established_year,Year in which school is started
53,school_registry.affiliation_board,"Possible values: [nan, 'State Board', 'Others', 'Both CBSE & State Board']"
54,school_registry.school_location,"Possible values: ['Rural', 'Urban', 'Not Defined']"
55,school_registry.district_name,"Possible district names: ['SIRMAUR', 'SHIMLA', 'KULLU', 'CHAMBA', 'MANDI', 'LAHUL & SPITI', 'SOLAN', 'KINNAUR', 'KANGRA', 'HAMIRPUR (H.P.)', 'BILASPUR (H.P.)', 'UNA', 'Shivalikgarh']. If no name of district is mentioned and question has district word then use 'Shimla' as default district"
56,school_registry.school_type,"Possible values: ['Co-educational', 'Girls', 'Boys']."
